name;eva
Hauptbahnhof Heidelberg;377203
Hauptbahnhof Hof (Saale);967656
Hauptbahnhof Homburg;401865
Hauptbahnhof Ingolstadt;540280
Hauptbahnhof Kaiserslautern;350441
Hauptbahnhof Kassel;714223
Hauptbahnhof Kempten (Allgäu);847282
Hauptbahnhof Kiel;699275
Hauptbahnhof Koblenz;140428
Hauptbahnhof Korbach;712934
Hauptbahnhof Krefeld;365602
Hauptbahnhof Landau in der Pfalz;368304
Hauptbahnhof Landshut;526183
Hauptbahnhof Listplatz Reutlingen;750433
Hauptbahnhof Ludwigshafen am Rhein;518294
Hauptbahnhof Mainz;518921
Hauptbahnhof Mannheim;374817
Hauptbahnhof Marburg;715458
Hauptbahnhof Mülheim an der Ruhr;651816
Hauptbahnhof München;620368
Hauptbahnhof Neuss;362655
Hauptbahnhof Neustadt an der Weinstraße;518431
Hauptbahnhof Nord (E-Becker-Str) Lünen;911129
Hauptbahnhof Nord (Münsterstr) Lünen;915428
Hauptbahnhof Nord Dresden;369932
Hauptbahnhof Nord Hamburg;694827
Hauptbahnhof Nord Kassel;104066
Hauptbahnhof Nord München;107000
Hauptbahnhof Nord Rostock;939558
Hauptbahnhof Nord Saarbrücken;836693
Hauptbahnhof Nordeingang Mülheim an der Ruhr;660220
Hauptbahnhof Nordeingang Neuss;369055
Hauptbahnhof Nürnberg;682666
Hauptbahnhof Oberhausen (Rheinland);654021
Hauptbahnhof Osnabrück;360294
Hauptbahnhof Ost Ingolstadt;789250
Hauptbahnhof Ost Würzburg;220093
Hauptbahnhof Ost/Ortenbergsteg Marburg;110068
Hauptbahnhof Osteingang Duisburg;652830
Hauptbahnhof Osteingang Recklinghausen;662127
Hauptbahnhof Paderborn;925887
Hauptbahnhof Pirmasens;509067
Hauptbahnhof ROB Aschaffenburg;425566
Hauptbahnhof Recklinghausen;661558
Hauptbahnhof Regensburg;121090
Hauptbahnhof Remscheid;212077
Hauptbahnhof Reutlingen;751619
Hauptbahnhof Rostock;360304
Hauptbahnhof SEV Potsdam;278308
Hauptbahnhof Saarbrücken;836075
Hauptbahnhof Saarlouis;836003
Hauptbahnhof Schweinfurt;945498
Hauptbahnhof Schwerin (Meckl);322331
Hauptbahnhof Seidlstraße München;623136
Hauptbahnhof Sinsheim;518535
Hauptbahnhof Solingen;662600
Hauptbahnhof Speyer;518537
Hauptbahnhof Stadtauswärts Ingolstadt;789277
Hauptbahnhof Stadteinwärts Ingolstadt;788660
Hauptbahnhof Stendal;959549
Hauptbahnhof Stralsund;952267
Hauptbahnhof Süd Braunschweig;625615
Hauptbahnhof Süd Hamburg;694826
Hauptbahnhof Süd Krefeld;665560
Hauptbahnhof Süd München;105000
Hauptbahnhof Süd Oldenburg (Oldenburg);769462
Hauptbahnhof Süd Rostock;939421
Hauptbahnhof Südeingang Bottrop;661047
Hauptbahnhof Südseite Frankfurt a M;107011
Hauptbahnhof Trier;255347
Hauptbahnhof Tübingen;121000
Hauptbahnhof U dLinden Reutlingen;751668
Hauptbahnhof Ulm;371808
Hauptbahnhof Weimar (Thür);646336
Hauptbahnhof Weinheim;145403
Hauptbahnhof West Würzburg;220092
Hauptbahnhof Westeingang Duisburg;653169
Hauptbahnhof Wiesbaden;106907
Hauptbahnhof Witten;377469
Hauptbahnhof Wittlich;458276
Hauptbahnhof Wolfsburg;885130
Hauptbahnhof Worms;350148
Hauptbahnhof Wuppertal;211376
Hauptbahnhof Zweibrücken;510843
Hauptbahnhof Zwickau;967542
Hauptbahnhof Öhringen;833759
Hauptbahnhof/Auheimer Straße Hanau;115644
Hauptbahnhof/Breitenweg Bremen;365722
Hauptbahnhof/Ernst-August-Platz Hannover;612467
Hauptbahnhof/Ernst-Kamieth-Str Halle (Saale);170814
Hauptbahnhof/Europaplatz Steig 1-2 Mönchengladbac;659925
Hauptbahnhof/Europaplatz Steig 3-4 Mönchengladbac;657808
Hauptbahnhof/Europaplatz Steig 5-8 Mönchengladbac;663427
Hauptbahnhof/Europaplatz Steig 9-13 Mönchengladba;663426
Hauptbahnhof/Fernbusterminal Frankfurt a M;160865
Hauptbahnhof/Friedrich-Engels-Str Potsdam;230233
Hauptbahnhof/Goethestr Leipzig;958959
Hauptbahnhof/Hugo-Schauinsland-Platz Bremen;370014
Hauptbahnhof/Nord Magdeburg;106929
Hauptbahnhof/Nord Reutlingen;379481
Hauptbahnhof/Ost Magdeburg;953390
Hauptbahnhof/Ostseite Leipzig;956417
Hauptbahnhof/Otto-von-Guericke-Str Magdeburg;957362
Hauptbahnhof/Rosenstraße Hannover;360021
Hauptbahnhof/SEV Cottbus;301640
Hauptbahnhof/Theater Gera;647899
Hauptbahnhof/Westseite Leipzig;958957
Hauptbahnhof/Willy-Brandt-Pl Heilbronn;721879
Hauptbahnhof/Wintergartenstr Leipzig;955524
Hauptbf (Arnulf-Klett-Platz) Stuttgart;561587
Hauptfriedhof Karlsruhe;372402
Hauptfriedhof Kassel;710635
Hauptstr/Bahnhof Eislingen (Fils);810131
Hauptstraße Bahlingen am Kaiserstuhl;496602
Hauptstraße Bötzingen;503759
Hauptstraße Dreikirchen;457137
Hauptstraße Köditz;546248
Hauptstraße Lonsee;492783
Hauptstraße Neu Wulmstorf;693820
Hauptstraße Süderdeich;698089
Hauptstraße Weil im Schönbuch;561188
Hauptstuhl;8002655
Haus Bethlehem Karlsruhe;721372
Hausach;8000333
Hausberg Garmisch-Partenkirchen;966902
Hausen (Eichsfeld);8011834
Hausen (Schwab);8002664
Hausen (Taunus);8007847
Hausen (Taunus) Auf der Hochwiese;8071890
Hausen (Ts) Bahnhof Neu-Anspach;106304
Hausen (b Düren);8007828
Hausen B32/Bahnhof Burladingen;752812
Hausen im Tal;8002656
Hausen im Tal Bahnhof Beuron;501683
Hausen-Raitbach;8002666
Hausen-Starzeln;8007225
Hausham;8002667
Havixbeck;8002670
Havneby;8600921
Haydnstraße Bruchsal;720401
Haynsburg;8011836
Haynsburg Bahnhof (Grana) Kretzschau;960764
Haßfurt;8002630
Haßloch (Pfalz);8002632
Haßmersheim;8002633
Hebertsfelden;8002671
Hebertshausen;8006189
Hechendorf Bahnhof Seefeld (Oberbayern);625786
Hechingen;8002673
Hechingen Landesbahn;8082673
Hechthausen;8002674
Heckershausen Casselbreite Ahnatal;403030
Heckershausen Henschelweg Ahnatal;715105
Heckershausen Mitte Ahnatal;715537
Heddesheim/Hirschberg;8002430
Hedemünden;8002677
Hedemünden Mündener Straße;8071211
Hedemünden Mündener Straße Hann Münden;627994
Hedersdorf;8002678
Hedersleben-Wedderstedt;8011838
Hedersleben-Wedderstedt Bahnhof Selke-Aue;956928
Heessen;8002680
Heessen Bahnhof Hamm (Westf);903064
Hegelsbergstraße Kassel;710634
Heggen;8002682
Heggen Bahnhof L539 Finnentrop;415773
Hegne;8002683
Hegne Kloster Allensbach;501604
Heide (Holst);8000155
Heide-Büsum Flugplatz;8070175
Heidelberg Gaisbergstraße;8070905
Heidelberg Hbf;8000156
Heidelberg Hbf W-Br;8070043
Heidelberg Orthopädie;8002684
Heidelberg Poststraße;8070906
Heidelberg Seegarten;8071015
Heidelberg-Altstadt;8002685
Heidelberg-Kirchheim/Rohrbach;8002686
Heidelberg-Pfaffengrund/Wieblingen;8002687
Heidelberg-Schlierbach/Ziegelhausen;8005366
Heidelberg-Weststadt/Südstadt;8002681
Heidelsheim;8002688
Heidelsheim Malzfabrik Bruchsal;723690
Heidelsheim Marktplatz;8071186
Heidelsheim Nord;8070010
Heidelsheim Schwimmbad;8071745
Heidenau;8010163
Heidenau Süd;8011843
Heidenau-Großsedlitz;8011844
Heidenau-Großsedlitz Pechhütte;8007132
Heidenheim;8002689
Heidenheim Voithwerk;8070005
Heidenheim-Mergelstetten;8002690
Heidenheim-Schnaitheim;8002691
Heidesheim (Rheinh);8002692
Heidesheim Bahnhof Ingelheim am Rhein;405361
Heidkrug;8002694
Heidkrug Bahnhof Delmenhorst;776908
Heidkrug Bahnhof Nord Delmenhorst;379962
Heidmühle Bahnhof Schortens;602095
Heigenbrücken;8002696
Heilbad Heiligenstadt;8011849
Heilbronn Bahnhofsvorplatz;8070171
Heilbronn Finanzamt;8070791
Heilbronn Friedensplatz;8070792
Heilbronn Hans-Rießer-Straße;8072723
Heilbronn Harmonie;8070172
Heilbronn Harmonie/Hafenmarktpassage;8071172
Heilbronn Harmonie/Kunsthalle;8072172
Heilbronn Hbf;8000157
Heilbronn Industrieplatz;8002723
Heilbronn Kaufland;8002726
Heilbronn Neckar-Turm Kurt-Schumacher-Platz;8070174
Heilbronn Pfühlpark;8070793
Heilbronn Rathaus;8070173
Heilbronn Sülmertor;8002699
Heilbronn Technisches Schulzentrum;8072722
Heilbronn Theater;8002722
Heilbronn Trappensee;8002700
Heilbronn-Böckingen Berufsschulzentrum;8079631
Heiligenberg DEV;8070431
Heiligendamm;8011846
Heiligendamm Bad Doberan;935688
Heiligenfeld Bahnhof Horb am Neckar;421539
Heiligenfelde;8070624
Heiligengrabe;8011848
Heiligengrabe Feuerwehr;8070935
Heiligengrabe Stift;8070997
Heiligenrode DHE;8070432
Heiligenstatt (Obb);8002703
Heiligenstatt Tüßling;875348
Heiligenstein (Pfalz);8002704
Heilsbronn;8002705
Heimbach (Eifel);8007829
Heimbach (Nahe);8002707
Heimbach (Nahe) Ort;8007887
Heimbach (Nahe) Ort Bahnhof;407345
Heimburg Pfeifenkrug Blankenburg (Harz);954337
Heimenkirch;8002710
Heimeranplatz München;364150
Heimerdingen;8007328
Heimerdingen Ditzingen;555131
Heimerdingen Hemminger Straße Ditzingen;227318
Heimerdingen Weissacher Straße Ditzingen;556844
Heimerdingen Wiesenäckerstraße Ditzingen;556845
Heimersheim;8002711
Heimersheim Bahnhof Bad Neuenahr-Ahrweiler;459614
Heimstetten;8002715
Heimstetten Nord Kirchheim b München;621289
Heimstetten Süd Kirchheim b München;621288
Heinebach;8002716
Heinebach Bahnhof Alheim;710175
Heinrich-Heine-Platz Halberstadt;962077
Heinrich-Heine-Straße Kassel;714882
Heinrich-Schütz-Straße Rostock;939241
Heinsberg (Rheinl);8002721
Heinsberg Kreishaus;8002725
Heinsberg-Dremmen;8001557
Heinsberg-Horst;8002719
Heinsberg-Oberbruch;8004519
Heinsberg-Porselen;8002720
Heinsberg-Randerath;8002718
Heinschenwalde;8007807
Heinschenwalde Bahnhof Hipstedt;615034
Heinzenhausen;8002724
Heitersheim;8002727
Helbra;8079606
Heldenbergen Nidderau Bahnhof Nidderau;104544
Heldrungen;8011852
Heldrungen Bahnhof (Bus) An der Schmücke;956725
Helenesee;8011853
Helgoland;8096002
Helgoland (Reede);8007759
Helgoland (Südhafen);8070237
Helgoland Flugplatz;8007787
Helgoland Katamaran;8007779
Helgoland-Kai Büsum;704601
Hellerhof S Düsseldorf;361995
Helmbrechts;8002733
Helmhof Bahnhof Neckarbischofsheim;506993
Helmsdorf (Pirna);8011855
Helmsdorf Bahnhof Stolpen;974051
Helmsheim;8002734
Helmsheim B35/Bf;8071201
Helmsheim Bahnhof Bruchsal;723754
Helmstadt (Baden);8007444
Helmstadt Bahnhof Helmstadt-Bargen;506995
Helmstedt;8000159
Helpup;8002737
Helpup Bahnhof Oerlinghausen;925836
Helsinkier Straße Rostock;939266
Hemeln Fähre Hemeln Hann Münden;209241
Hemmenhofen;8079013
Hemmerde;8002745
Hemmerde Bahnhof Unna;904233
Hemmersdorf (Saar);8002746
Hemmingen;8007327
Hemmoor;8000815
Hemsbach;8002748
Henfenfeld;8002751
Hennef (Sieg);8002753
Hennef im Siegbogen;8002775
Hennen;8002754
Hennen Bahnhof Iserlohn;411165
Hennersdorf (Sachs);8011856
Hennigsdorf (Berlin);8013483
Hennigsdorf (S);8089207
Henstedt-Ulzburg;8007053
Heppenheim (Bergstr);8002757
Herbertingen;8000160
Herbertingen Ort;8002760
Herbertshofen;8002761
Herbingstr Halberstadt;954047
Herbingstr/Klusstr Halberstadt;962228
Herbolzheim (Breisg);8002763
Herbolzheim (Jagst);8002764
Herbolzheim Mitte Neudenau;421027
Herborn (Dillkr);8000161
Herbrechtingen;8002766
Herchen;8002768
Herchen Bahnhof Windeck;443283
Herdecke;8002769
Herdorf;8002770
Herdorf Rathaus;8071296
Herford;8000162
Hergatz;8000387
Hergershausen;8002773
Hergershausen Bahnhof Babenhausen (Hessen);111261
Heringen (Helme);8011860
Heringsdorf Neuhof;8087026
Herlasgrün;8010166
Herlasgrün Bahnhof Pöhl;967066
Herleshausen Hp;8013548
Hermann-Essig-Straße Schwieberdingen;558871
Hermannswerder/Fähre Potsdam;736271
Hermaringen;8002776
Hermentingen;8007231
Hermentingen B32 Veringenstadt;750914
Hermsdorf (Dresden);8011861
Hermsdorf Bahnhof Ottendorf-Okrilla;975426
Hermsdorf-Klosterlausnitz;8011862
Herne;8000164
Herne-Börnig;8002779
Heroldsberg;8002782
Heroldsberg Nord;8002783
Herrath;8002784
Herrath Bahnhof Mönchengladbach;659936
Herrenberg;8002785
Herrenberg Zwerchweg;8002786
Herrenberger Straße Böblingen;561838
Herreninsel Schiffsanleger Chiemsee;844002
Herrensee;8011863
Herrensee Bahnhof Rehfelde;728143
Herrlingen;8002789
Herrlingen Bahnhof Blaustein;492543
Herrlishöfen;8079099
Herrnburg;8011864
Herrnburg Bahnhof Lüdersdorf;704034
Herrsching;8002792
Hersbruck (Pegnitz);8096017
Hersbruck (l Pegnitz);8002793
Hersbruck (r Pegnitz);8002794
Herten (Baden);8002797
Herten (Westf);8002795
Hervest-Dorsten;8000165
Herxheim am Berg;8002798
Herzberg (Elster);8011867
Herzberg (Harz);8000166
Herzberg (Mark);8010167
Herzberg Schloß;8002800
Herzebrock;8002801
Herzebrock Bahnhof Herzebrock-Clarholz;923739
Herzhausen Itterstraße Vöhl;711707
Herzhausen Nationalparkbahnhof Vöhl;711126
Herzhausen Nationalparkzentrum Vöhl;710619
Herzhorn;8079605
Herzlake EFH;8070437
Herzogenrath;8002806
Herzogenrath (Gr);8089120
Herzogenrath-Alt-Merkstein;8002804
Herzogenrath-August-Schmidt-Platz;8002816
Hesedorf;8007808
Hesedorf Bahnhof Bremervörde;617818
Heselbach;8002808
Heselbach Baiersbronn;362980
Hesepe;8000167
Hesepe Bahnhof Bramsche;609819
Hesseln;8002810
Hesseneck Kailbach;8003144
Hesseneck Schöllenbach;8005393
Hessental Bahnhof Schwäbisch Hall;833598
Hesseröder Straße Nordhausen;248181
Hessisch Oldendorf;8002812
Hetschburg;8011869
Hettenhausen;8002814
Hettenhausen Hauptstraße;8071385
Hettingen (Hohenz);8007230
Hettstedt;8010168
Hettstedt Kupferkammerhütte (Bergwerksbahn);8076459
Hetzbach Bahnhof Oberzent;111224
Hetzdorf (Flöhatal);8011870
Hetzerath;8002817
Heubing Bahnhof Hagen (Westf);656150
Heudeber-Danstedt;8010169
Heufeld;8002820
Heufeldmühle;8002821
Heusenstamm;8002822
Heusteigstraße Böblingen;561347
Hexentanzplatz/Bergstation Kabinenseilbahn Thale;366758
Hiddenhausen-Schweicheln;8002824
Hiddensee;8096011
Hilchenbach;8002826
Hildbrandsgrün;8002827
Hildburghausen;8011871
Hilden;8000388
Hilden S Hilden;318969
Hilden Süd;8002828
Hildesheim Gbf;8099503
Hildesheim Hbf;8000169
Hildesheim Ost;8002830
Hilgenroth Ortsmitte;8070990
Hille;8070438
Hilling Bahnhof Bodenkirchen;553443
Hillnhütten;8002835
Hilpertsau;8002837
Hilpertsau Gernsbach;364766
Hilpertsau Ochsen Gernsbach;721163
Hilpoltstein;8002838
Hilter;8002839
Hiltrup Bahnhof Münster (Westf);906515
Himmelpforten;8002843
Himmelreich;8002844
Himmelstadt;8002845
Hindenburgstr Höfen an der Enz;721221
Hinrichssegen;8002850
Hinter der Bahn Eystrup;628256
Hinterweidenthal;8002847
Hinterweidenthal Ort;8079088
Hinterweidenthal Ost;8079147
Hinterzarten;8002848
Hirsau;8002852
Hirsau Calwer Straße Calw;361048
Hirsau St Aurelius Calw;828837
Hirschaid;8002853
Hirschberg Bahnhof DB Heddesheim;507347
Hirschfelde;8011878
Hirschfelde Bahnhof Zittau;973464
Hirschfelde Markt;8070847
Hirschfelden;8002856
Hirschgarten München;130031
Hirschhorn (Neckar);8002857
Hirschhorn (Neckar) Jahnstraße/Ev Kirche;8071676
Hirschhorn (Pfalz);8002858
Hirtenweg/Technologiepark Karlsruhe;363403
Hittfeld;8002864
Hitzacker;8002865
Hochdahl;8002868
Hochdahl S-Bahnhof Erkrath;369029
Hochdahl-Millrath;8002869
Hochdorf (b Horb);8000389
Hochdorf Tübinger Straße Nagold;570373
Hochfeld Süd Bahnhof/RheinPark Duisburg;216084
Hochhausen (Tauber);8002871
Hochheim (Main);8002872
Hochneukirch;8000390
Hochneukirch Bahnhof Jüchen;657755
Hochschule Aschaffenburg;425610
Hochspeyer;8002875
Hochstadt-Marktzeuln;8002878
Hochstetten;8007201
Hochstetten (Nahe);8002880
Hochstetten Altenheim Linkenheim-Hochstetten;721187
Hochstetten Grenzstraße;8079042
Hochstetten Grenzstraße Linkenheim-Hochstetten;720727
Hochstätten (Pfalz);8002879
Hochwang;8002881
Hochzoll Bahnhof Augsburg (Bayern);780183
Hockenheim;8002883
Hockeroda;8010170
Hockeroda (Bushaltestelle) Kaulsdorf;690842
Hodenhagen;8002884
Hof (Münstertal);8007336
Hof Hbf;8002924
Hof-Neuhof;8002927
Hofeld;8002929
Hofen (b Aalen);8002930
Hofen Bahnhof Aalen;201504
Hoffenheim;8002931
Hoffenheim Bahnhof Sinsheim;507191
Hoffnungsthal;8002932
Hoffnungsthal Bahnhof Rösrath;445004
Hofgeismar;8002933
Hofgeismar-Hümme;8003015
Hofheim (Ried);8002934
Hofheim (Taunus);8002935
Hofheim Bahnhof Lampertheim;518216
Hofheim Bahnhof Westseite Lampertheim;511265
Hohe Düne Fähre Rostock;368702
Hohe Straße/Bahnhof Hude (Oldenburg);607432
Hohefeldstr Berlin;732431
Hohegrete;8002939
Hohen Neuendorf (b Berlin);8080720
Hohen Neuendorf Friedhof;8079733
Hohen Neuendorf West;8080710
Hohen Neuendorf West Karl-Marx Straße;8071667
Hohenbrunn;8002940
Hohenbudberg Bayerwerk;8002941
Hohendorf;8011889
Hohenebra Ort;8011891
Hohenebra Ort Sondershausen;215379
Hohenecken Bahnhof Kaiserslautern;513386
Hoheneggelsen;8002944
Hoheneggelsen Bahnhof Söhlde;912022
Hohenfichte;8011892
Hohenleipisch;8011894
Hohenleipisch Mitte;8070957
Hohenleuben;8011895
Hohenlimburg;8002953
Hohenlimburg Bahnhof Hagen (Westf);366059
Hohenpeißenberg;8002954
Hohenroda;8011900
Hohenschäftlarn;8002955
Hohenschäftlarn Schäftlarn;626035
Hohenstadt (Mittelfr);8002956
Hohenstadt SEV Bad Wimpfen;370606
Hohenstein-Ernstthal;8011904
Hohensülzen;8002958
Hohenthurm;8011905
Hohenthurm Briefzentrum;8071741
Hohenthurm Briefzentrum Landsberg (Saalekreis);961054
Hohenthurm Mölbitzer Weg;8071078
Hohenwarth;8007342
Hohenwarth Campingplatz;8070160
Hohenwestedt;8002959
Hohenwulsch;8010172
Hohenwulsch Bahnhof (Bus) Bismark (Altmark);958449
Hoher Weg Halberstadt;953011
Hohndorf Mitte;8017422
Holdorf (Meckl);8011908
Holdorf (Meckl) B104;8079446
Holdorf (Oldb);8002962
Holenbrunn Bahnhof Wunsiedel;547249
Holländische Straße Kassel;711180
Holländischer Platz/Universität Kassel;711363
Holm-Seppensen;8002967
Holm-Seppensen Bahnhof Buchholz (Nordheide);611545
Holstentherme;8007203
Holten Bahnhof Oberhausen (Rheinland);654170
Holtensen Hamelner Straße;8072969
Holtensen/Linderte;8002969
Holthausen Bahnhof Essen (Ruhr);209686
Holthusen;8010173
Holtwick Bahnhof Rosendahl;906075
Holweide S-Bahn Köln;445675
Holzdorf (Elster);8011909
Holzdorf (b Weimar);8011910
Holzdorf (b Weimar) Bushaltestelle Weimar (Thür);646217
Holzdorf Bahnhof (Bus) Jessen (Elster);961113
Holzgerlingen Bf;8085010
Holzgerlingen Buch;8085011
Holzgerlingen Nord;8085009
Holzhau;8011912
Holzhau Bahnhof Rechenberg-Bienenmühle;973082
Holzhau Skilift;8017218
Holzhausen (Kr Siegen);8002976
Holzhausen Bahnhof Preußisch Oldendorf;927634
Holzhausen Schiffsanleger Utting a Ammersee;621642
Holzhausen-Heddinghausen;8002978
Holzheim (b Neuss);8002979
Holzheim Bahnhof Neuss;367369
Holzkirchen;8002980
Holzmarkt Halberstadt;953962
Holzminden;8000391
Holzwickede;8000392
Homburg (Saar) Hbf;8000176
Honrath;8002988
Honrath Bahnhof Lohmar;440508
Hopfgarten (Sachs);8011914
Hopfgarten (Weimar);8011915
Hoppecke;8002992
Hoppecke Bahnhof Brilon;413125
Hoppegarten (Mark);8080750
Hoppingen;8002994
Hoppingen Bahnhalt Harburg (Schwaben);784010
Hoppstädten (Nahe);8002995
Hoppstädten Bahnhof Hoppstädten-Weiersbach;407349
Horb;8000177
Horb-Heiligenfeld;8002998
Hordorf;8011919
Horka;8010174
Horn Bahnhof Horn-Bad Meinberg;925218
Horn-Bad Meinberg;8003000
Hornau Bahnhof Kelkheim (Taunus);104280
Hornberg (Schwarzw);8003001
Horneburg;8003002
Hornstorf;8010176
Hornstorf Neubau;8079734
Horrem;8000178
Horrem Bahnhof Kerpen (Rheinland);443575
Horst (Holst);8003003
Horstmar Preußen Bahnhof Lünen;903642
Hosena;8010171
Hosena Bahnhof Senftenberg;727286
Hotel Bachmair (Schiff) Rottach-Egern;966962
Hoyerswerda;8010177
Hoyerswerda-Neustadt;8011922
Hoykenkamp;8003008
Hoykenkamp Bahnhof Ganderkesee;628475
Hoßkirch Königseggsee;8003004
Hp Coßmannsdorf Freital;978703
Hp Kinderwaldstätte Chemnitz;981958
Hp Mitteloelsnitz Oelsnitz/Erzgeb;984178
Hp Neustadt Hoyerswerda;978377
Hp Süd Zittau;369596
Hrensko Fährstelle Tschechien;977777
Hrensko nabrezi;5470001
Hubacker;8003010
Hubertushöhe;8011923
Huchem-Stammeln;8007817
Huchem-Stammeln Bahnhof (Bus) Niederzier;586154
Huckarde Bushof Dortmund;366244
Huckarde S-Bahnhof Dortmund;652157
Huckstorf;8011924
Huckstorf Ort;8079735
Huckstorf Pölchow;935719
Hude;8000522
Hude Hohe Straße/Bahnhof;8071144
Hufschlag;8003023
Hufschlag Surberg;591579
Huglfing;8003024
Hugstetten;8003025
Hugstetten Bahnhof March;498209
Hulb;8003022
Hulb Böblingen;367115
Hummelberg;8070020
Hundsgrün;8011928
Hundstadt;8007848
Hundstadt Ortsmitte Grävenwiesbach;116612
Hungen;8000400
Huntlosen;8003030
Huntlosen Bahnhof Großenkneten;612933
Husby;8003032
Husby West;696515
Husum;8000181
Husum;8070180
Huttenheim;8003033
Huttenheim Kirche;8070891
Huzenbach;8003034
Huzenbach Kurhaus Baiersbronn;815255
Häberlesbrücke Schiltach;572029
Häger Bahnhof Münster (Westf);412141
Hähnichen;8011795
Hähnlein-Alsbach;8002498
Hälde Hemmingen (Württ);367460
Hämelerwald;8002499
Hämelerwald Bahnhof Lehrte;638648
Hämerten;8011796
Händelstraße Karlsruhe;377044
Härtelstr Leipzig;964447
Häuserhof;8002501
Höchst (Odenw);8000172
Höchst Bahnhof Frankfurt a M;101008
Höchst Bahnhof Nordseite Frankfurt a M;101018
Höchst Hetschbach;8002813
Höchst Mittelstraße Altenstadt (Hessen);123754
Höchst Mümling-Grumbach;8004125
Höchstädt (Donau);8002888
Höckendorf Edle Krone Bahnhof Klingenberg (Sachse;978369
Höfen (Enz) Bf;8002891
Höfen (Enz) Nord;8070279
Höfingen;8002892
Höfingen Alter Bahnhofweg Leonberg (Württ);561201
Höfingen Varnbülerstraße Leonberg (Württ);560839
Höftgrube Bahnhof Wingst Wingst;616496
Höhenkirchen-Sieg Höhenkirchen-Siegertsbrunn;363940
Höhenkirchen-Siegertsbrunn;8002894
Höhmühlbach;8002895
Höhmühlbach Bahnhof Rieschweiler-Mühlbach;509017
Hölle Abzw Naila;546471
Höllenthal;8002898
Höllriegelskreuth;8002899
Höllriegelskreuth Pullach i Isartal;624683
Höntrop Bochum;365504
Höntrop S-Bahnhof Bochum;657268
Höpfling;8002908
Höpfling Siegsdorf;594459
Hörde Bahnhof Dortmund;361228
Hörden;8002910
Hörlkofen;8002912
Hörnum (Sylt);8007774
Hörnum Hafen;8084079
Hörnum Mitte;8079153
Hörnum Nord;8079154
Hörnum Steintal;8079155
Hörpolding;8002914
Hörpolding Bahnhof Traunreut;590141
Hörschel Eisenach (Thür);996739
Hörschel Hp;8013547
Hörselgau;8087061
Hörstel;8002915
Hörstmar (Lippe);8002916
Hörstmar Bahnhof Lemgo;924823
Hösbach;8002918
Hösbach-Bahnhof Bahnhof Hösbach;425707
Hösel;8002919
Hösel S Ratingen;365528
Hösel S-Bahnhof Nordseite Ratingen;662788
Hösel S-Bahnhof Ratingen;661456
Höste;8070884
Hövelhof;8002920
Hövelhof Bahnhof;924150
Hövelriege;8002921
Hövelriege Bahnhof Hövelhof;924116
Höxter Rathaus;8002923
Höxter Schulzentrum;8071704
Hübschstraße Karlsruhe;374505
Hückelhoven-Baal;8000677
Hüffenhardt;8007439
Hüfingen Mitte;8003014
Hügelstraße Frankfurt a M;101304
Hümme Bahnhof Hofgeismar;710150
Hünfeld;8003016
Hürth-Kalscheuren;8003160
Hütten;8070219
Hütten Bahnhof Schelklingen;102956
Hüttenbach Bahnhof Simmelsdorf;460274
Hüttenbusch;8007119
Hüttengrund;8011925
Hüttengrund (Bushaltestelle) Sonneberg;210017
Hüttingen;8003021
IKEA Kaarst Kaarst;651278
Ibach;8003035
Ibach Jägerhaus/Bahnhof Oppenau;571095
Ibbenbüren;8003036
Ibbenbüren-Aasee;8070448
Ibbenbüren-Esch;8001867
Ibbenbüren-Laggenbeck;8003491
Ichenhausen;8003038
Icking;8003039
Idar-Oberstein;8003040
Idstein (Taunus);8003041
Iffeldorf;8005672
Igel;8003042
Igel (Gr);8000303
Igensdorf;8003044
Igersheim;8003045
Ihringen;8003052
Ihringshausen Bahnhof Weddel Fuldatal;712027
Ilberstedt;8011929
Ilfeld;8017014
Ilfeld Bad;8080998
Ilfeld Bahnhof Harztor;248174
Ilfeld Harztor;248314
Ilfeld Kirche Harztor;248175
Ilfeld Kreuzung Harztor;248114
Ilfeld Neanderklinik;8070776
Ilfeld Neanderklinik Harztor;248189
Ilfeld Netzkater Harztor;248116
Ilfeld Schreiberwiese;8080990
Ilfeld Schreiberwiese Harztor;248315
Ilfeld Talbrauerei Harztor;248113
Illertissen;8003057
Illesheim;8003058
Illingen (Saar);8003059
Illingen (Württ);8003060
Ilmenau;8010178
Ilmenau Bad;8011931
Ilmenau Pörlitzer Höhe;8011935
Ilmenau-Roda;8011932
Ilsenburg;8011933
Im Apfelgarten (Nord) Neu Wulmstorf;360400
Im Haag Möckmühl;833457
Immelborn;8011934
Immelborn (Bushaltestelle) Barchfeld-Immelborn;996062
Immendiek Rostock;939226
Immendingen;8000182
Immendingen Mitte;8003061
Immendingen Zimmern;8003066
Immenhausen;8003062
Immenreuth;8003063
Immensen-Arpke;8003064
Immensen-Arpke Bahnhof Lehrte;636688
Immenstaad (Bodensee);8006822
Immenstadt;8003065
Imsweiler;8003070
Industriegebiet Bahnhof Singen (Hohentwiel);503604
Industriepark Höchst Tor Nord Frankfurt a M;101012
Industrieplatz Ost Heilbronn;755145
Industrieplatz West Heilbronn;755146
Ingelbach;8003073
Ingelheim;8003075
Ingolstadt Audi;8003074
Ingolstadt Hbf;8000183
Ingolstadt Nord;8003076
Inningen;8003079
Insel Reichenau;8079132
Inselbahnhof Lindau (Bodensee);990083
